,Author,Publication Year,Title,DOI
382,"Chen, Ai; Zhong, Hua; Peng, Jie; Luo, Tao; Jun, Su",2025,Machine learning-based modeling for predicting hypopituitarism after cranial trauma,10.1016/j.wneu.2025.124018
423,"Najla, Mehyar; Mach, Pavel; Becvar, Zdenek",2020,Deep learning for selection between RF and VLC bands in device-to-device communication,10.1109/LWC.2020.3003786
228,"Letkovsky, Stanislav; Jencova, Sylvia; Vasanicova, Petra",2024,Is artificial intelligence really more accurate in predicting bankruptcy?,10.3390/ijfs12010008
608,"Nedadur, Rashmi; Bhatt, Nitish; Chung, Jennifer; Chu, Michael W.A.; Ouzounian, Maral; Wang, Bo",2025,Machine learning and decision making in aortic arch repair,10.1016/j.jtcvs.2023.11.032
568,"Kherabi, Yousra; Messika, Jonathan; Peiffer-Smadja, Nathan",2022,"Machine learning, antimicrobial stewardship, and solid organ transplantation: Is this the future?",10.1111/tid.13957
500,"Guo, Zhenya; Liu, Jiaping; Liang, Guozhi; Liang, Haifeng; Zhong, Mingbei; Tomlinson, Stephen; He, Songqing; Ouyang, Guoqing; Yuan, Guandou",2024,Identification and validation of cuproptosis-related genes in acetaminophen-induced liver injury using bioinformatics analysis and machine learning,10.3389/fimmu.2024.1371446
216,"Nagappan, G.; Maheswari, K. G.; Siva, C.",2024,Enhancing intelligent transport systems: A cutting-edge framework for context-aware service management with hybrid deep learning,10.1016/j.simpat.2024.102979
379,"Leidinger, Andreas; Zuckerman, Scott L.; Feng, Yueqi; He, Yitian; Chen, Xinrui; Cheserem, Beverly; Gerber, Linda M.; Lessing, Noah L.; Shabani, Hamisi K.; Härtl, Roger; Mangat, Halinder S.",2023,Predictors of spinal trauma care and outcomes in a resource-constrained environment: a decision tree analysis of spinal trauma surgery and outcomes in Tanzania,10.3171/2022.11.SPINE22763
151,"Minagawa, Hideaki; Tezuka, Tomoya; Tsuchida, Hidetsugu",2024,Effective combinations of features in predicting the range of incident ions using machine learning,10.1016/j.nimb.2024.165383
46,"Chinchilla, Monica; Santos-Martin, David; Carpintero-Renteria, Miguel; Lemon, Scott",2021,Worldwide annual optimum tilt angle model for solar collectors and photovoltaic systems in the absence of site meteorological data,10.1016/j.apenergy.2020.116056
479,"Manonmani, Gangadharan; Ponmozhi, Krishnasamy; Balasubramanian, Krishnasamy",2025,The A3C-CCTSO-R2N2 algorithmic framework for precise edge-cloud parameter estimation,10.11591/eei.v14i5.8982
325,"Woo, Myung; Alhanti, Brooke; Lusk, Sam; Dunston, Felicia; Blackwelder, Stephen; Lytle, Kay S.; Goldstein, Benjamin A.; Bedoya, Armando",2020,Evaluation of ML-based clinical decision support tool to replace an existing tool in an academic health system: Lessons learned,10.3390/jpm10030104
