"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"379RHEMT","journalArticle","2022","Braun, Jeremy; Quirk, Sarah; Tchistiakova, Ekaterina","Machine learning-generated decision boundaries for prediction and exploration of patient-specific quality assurance failures in stereotactic radiosurgery plans","","","","10.1002/mp.15454","","","2022","2026-02-06 15:33:35","2026-02-06 15:33:35","","","","","49.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/7QVYZZG9/Braun et al. - 2022 - Machine learning-generated decision boundaries for prediction and exploration of patient-specific qu.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JWL269XT","journalArticle","2022","Chamseddine, Ibrahim; Kim, Yejin; De, Brian; El Naqa, Issam; Duda, Dan G.; Wolfgang, John; Pursley, Jennifer; Paganetti, Harald; Wo, Jennifer; Hong, Theodore; Koay, Eugene J.; Grassberger, Clemens","Predictive modeling of survival and toxicity in patients with hepatocellular carcinoma after radiotherapy","","","","10.1200/CCI.21.00169","","","2022","2026-02-06 15:33:35","2026-02-06 15:33:35","","","","","6.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/W4RRYXAC/Chamseddine et al. - 2022 - Predictive modeling of survival and toxicity in patients with hepatocellular carcinoma after radioth.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5XTWKIQH","journalArticle","2025","Fuchs, B.; Heesen, P.","From Lindbergh's cockpit to predictive, AI-driven health care: a roadmap for high-reliability medicine","","","","10.1016/j.esmorw.2025.100650","","","2025","2026-02-06 15:33:35","2026-02-06 15:33:35","","","","","10.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/6VQH7WWJ/Fuchs and Heesen - 2025 - From Lindbergh's cockpit to predictive, AI-driven health care a roadmap for high-reliability medici.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D4KKCSMQ","journalArticle","2023","Cankaya, Burak; Topuz, Kazim; Delen, Dursun; Glassman, Aaron","Evidence-based managerial decision-making with machine learning: The case of Bayesian inference in aviation incidents","","","","10.1016/j.omega.2023.102906","","","2023","2026-02-06 15:33:35","2026-02-06 15:33:35","","","","","120.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/BWWAEZNP/Cankaya et al. - 2023 - Evidence-based managerial decision-making with machine learning The case of Bayesian inference in a.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MRJCRDG4","journalArticle","2022","Kong, Yingxiao; Zhang, Xiaoge; Mahadevan, Sankaran","Bayesian deep learning for aircraft hard landing safety assessment","","","","10.1109/TITS.2022.3162566","","","2022","2026-02-06 15:33:35","2026-02-06 15:33:35","","","","","23.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/IYX3CCI5/Kong et al. - 2022 - Bayesian deep learning for aircraft hard landing safety assessment.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MTLWJ65C","journalArticle","2024","Khattak, Waqas Rauf; Salman, Ahmad; Ghafoor, Salman; Latif, Seemab","Multi-modal LSTM network for anomaly prediction in piston engine aircraft","","","","10.1016/j.heliyon.2024.e25120","","","2024","2026-02-06 15:33:35","2026-02-06 15:33:35","","","","","10.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/K89T8QX3/Khattak et al. - 2024 - Multi-modal LSTM network for anomaly prediction in piston engine aircraft.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4DMGCBUN","journalArticle","2024","Moss, Robert J.; Kochenderfer, Mykel J.; Gariel, Maxime; Dubois, Arthur","Bayesian safety validation for failure probability estimation of black-box systems","","","","10.2514/1.I011395","","","2024","2026-02-06 15:33:35","2026-02-06 15:33:35","","","","","21.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/6TUCBPTR/Moss et al. - 2024 - Bayesian safety validation for failure probability estimation of black-box systems.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J9YMXXSI","journalArticle","2025","Huegli, David; Chavaillaz, Alain; Sauer, Juergen; Schwaninger, Adrian","Effects of false alarms and miscues of decision support systems on human-machine system performance: a study with airport security screeners","","","","10.1080/00140139.2025.2453546","","","2025","2026-02-06 15:33:35","2026-02-06 15:33:35","","","","","68.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/GY7XMJQ6/Huegli et al. - 2025 - Effects of false alarms and miscues of decision support systems on human-machine system performance.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"768R2E42","journalArticle","2025","Bertheau, Maren A. K.; Boetzel, Cindy; Herrmann, Christoph S.","Event-related potentials reveal incongruent behavior of autonomous vehicles in the moral machine dilemma","","","","10.1038/s41598-025-99531-6","","","2025","2026-02-06 15:33:35","2026-02-06 15:33:35","","","","","15.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/EJU48XXE/Bertheau et al. - 2025 - Event-related potentials reveal incongruent behavior of autonomous vehicles in the moral machine dil.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YCW8DEXH","journalArticle","2023","Geisslinger, Maximilian; Poszler, Franziska; Lienkamp, Markus","An ethical trajectory planning algorithm for autonomous vehicles","","","","10.1038/s42256-022-00607-z","","","2023","2026-02-06 15:33:35","2026-02-06 15:33:35","","","","","5.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/RYVGT6Q3/Geisslinger et al. - 2023 - An ethical trajectory planning algorithm for autonomous vehicles.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9FG3D6NU","journalArticle","2025","Tian, Xinyue","How should autonomous vehicles allocate accident liability? Rethinking the applicability of the hand formula","","","","10.1515/ajle-2025-0037","","","2025","2026-02-06 15:33:35","2026-02-06 15:33:35","","","","","16.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/TBGVY9UN/Tian - 2025 - How should autonomous vehicles allocate accident liability Rethinking the applicability of the hand.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JAFB6FXE","journalArticle","2025","Kaneko, Sota; Yamada, Seiji","Predicting trust dynamics with dynamic SEM in human-AI collaboration","","","","10.1109/ACCESS.2025.3629365","","","2025","2026-02-06 15:33:35","2026-02-06 15:33:35","","","","","13.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/DTM3FI77/Kaneko and Yamada - 2025 - Predicting trust dynamics with dynamic SEM in human-AI collaboration.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FIVPUAM6","journalArticle","2023","Feng, Yuchao; Hua, Wei; Sun, Yuxiang","NLE-DM: Natural-language explanations for decision making of autonomous driving based on semantic scene understanding","","","","10.1109/TITS.2023.3273547","","","2023","2026-02-06 15:33:35","2026-02-06 15:33:35","","","","","24.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/YEI8ZJM7/Feng et al. - 2023 - NLE-DM Natural-language explanations for decision making of autonomous driving based on semantic sc.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PRJZ4Z7Z","journalArticle","2025","Lu, Tianle; Kuang, Gaoyuan; Xu, Dongyang; Xu, Shaobing; Luo, Yiran; Wang, Qingfan; Shang, Shi; Zhou, Qing; Nie, Bingbing","A physics-informed attention model for integrated driving risk assessment","","","","10.1016/j.aap.2025.108266","","","2025","2026-02-06 15:33:35","2026-02-06 15:33:35","","","","","223.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/XDSJYP9V/Lu et al. - 2025 - A physics-informed attention model for integrated driving risk assessment.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZPGGVH6X","journalArticle","2025","Ji, Yuxiong; Xu, Zhongke; Zhao, Cong; Chen, Kun; Du, Yuchuan","Accelerated testing and evaluation for black-box autonomous driving systems via adaptive markov chain monte carlo","","","","10.1109/TITS.2024.3525059","","","2025","2026-02-06 15:33:35","2026-02-06 15:33:35","","","","","26.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/8RNXIFK5/Ji et al. - 2025 - Accelerated testing and evaluation for black-box autonomous driving systems via adaptive markov chai.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WBXKKJD6","journalArticle","2021","Goodall, Noah J.","Comparison of automated vehicle struck-from-behind crash rates with national rates using naturalistic data","","","","10.1016/j.aap.2021.106056","","","2021","2026-02-06 15:33:35","2026-02-06 15:33:35","","","","","154.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/ZEEGXKYS/Goodall - 2021 - Comparison of automated vehicle struck-from-behind crash rates with national rates using naturalisti.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AHB2RITK","journalArticle","2026","Yuan, Chen; Ding, Jingyan; Cui, Yi; Chen, Hao; Ma, Jinfei","Active takeover failure of aggressive drivers during partially automated driving","","","","10.1016/j.trf.2025.103416","","","2026","2026-02-06 15:33:35","2026-02-06 15:33:35","","","","","116.0","","","","","","","","","","","","","","","","","","","/Users/clover/Zotero/storage/MUZ4XV7X/Yuan et al. - 2026 - Active takeover failure of aggressive drivers during partially automated driving.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
